"player_name","mlb_team","positions","primary_position"
"Heliot Ramos","SFG","OF","OF"
"Alejandro Kirk","TOR","C","C"
"Brett Baty","NYM","2B,3B,OF","2B"
"CJ Abrams","WSN","SS","SS"
"Trent Grisham","NYY","OF","OF"
"Otto Kemp","PHI","3B","3B"
"Jorge Barrosa","ARI","OF","OF"
"Jonah Heim","ATL","C","C"
"Edmundo Sosa","PHI","SS,2B,3B","SS"
"Masataka Yoshida","BOS","OF","OF"
"Maikel Garcia","KCR","3B","3B"
"Francisco Lindor","NYM","SS","SS"
"Ceddanne Rafaela","BOS","2B,OF","2B"
"Brandon Nimmo","TEX","OF","OF"
"Kyle Isbel","KCR","OF","OF"
"Trevor Story","BOS","SS","SS"
"Logan O'Hoppe","LAA","C","C"
"Dane Myers","CIN","OF","OF"
"Jacob Young","WSN","OF","OF"
"Austin Martin","MIN","OF","OF"
"Myles Straw","TOR","OF","OF"
"Jordan Lawlar","ARI","SS,3B","SS"
"Jake Cronenworth","SDP","2B","2B"
"Dansby Swanson","CHC","SS","SS"
"Parker Meadows","DET","OF","OF"
"Jose Altuve","HOU","2B,OF","2B"
"Daulton Varsho","TOR","OF","OF"
"Joey Bart","PIT","C","C"
"Brandon Lockridge","MIL","OF","OF"
"Miguel Vargas","CHW","3B,1B","3B"
"Freddie Freeman","LAD","1B","1B"
"Jordan Beck","COL","OF","OF"
"Blaze Alexander","BAL","3B","3B"
"Will Benson","CIN","OF","OF"
"Lane Thomas","KCR","OF","OF"
"Coby Mayo","BAL","1B","1B"
"Matt Chapman","SFG","3B","3B"
"Jo Adell","LAA","OF","OF"
"Colton Cowser","BAL","OF","OF"
"Darell Hernaiz","ATH","SS","SS"
"Tyrone Taylor","NYM","OF","OF"
"Jorge Mateo","ATL","SS","SS"
"Brett Sullivan","COL","C","C"
"Jared Oliva","SFG","OF","OF"
"Jose Fermin","STL","2B,3B,OF","2B"
"Willson Contreras","BOS","1B","1B"
"Bryce Johnson","SDP","OF","OF"
"Jared Young","NYM","1B","1B"
"Billy Cook","PIT","1B,OF","1B"
"Ian Happ","CHC","OF","OF"
"Steven Kwan","CLE","OF","OF"
"Troy Johnston","COL","OF","OF"
"Jonny DeLuca","TBR","OF","OF"
"Colson Montgomery","CHW","SS","SS"
"Jackson Merrill","SDP","OF","OF"
"Julio Rodriguez","SEA","OF","OF"
"Freddy Fermin","SDP","C","C"
"Tim Tawa","ARI","2B,OF","2B"
"Pedro Pages","STL","C","C"
"Matt Wallner","MIN","OF","OF"
"Daylen Lile","WSN","OF","OF"
"Austin Wells","NYY","C","C"
"Andrew Vaughn","MIL","1B","1B"
"Andy Ibanez","ATH","3B,1B","3B"
"Paul Goldschmidt","NYY","1B","1B"
"Sam Haggerty","TEX","OF","OF"
"Xander Bogaerts","SDP","SS","SS"
"Graham Pauley","MIA","3B,1B","3B"
"Pavin Smith","ARI","1B","1B"
"Gabriel Moreno","ARI","C","C"
"Nolan Gorman","STL","2B,3B","2B"
"Zach McKinstry","DET","SS,3B,OF","SS"
"Otto Lopez","MIA","SS,2B","SS"
"Connor Wong","BOS","C","C"
"Daniel Schneemann","CLE","2B,3B,OF","2B"
"Leody Taveras","BAL","OF","OF"
"Ezequiel Duran","TEX","SS,3B","SS"
"Derek Hill","CHW","OF","OF"
"Blake Perkins","MIL","OF","OF"
"Michael Conforto","CHC","OF","OF"
"Tyler Tolbert","KCR","SS,OF","SS"
"Bryce Teodosio","LAA","OF","OF"
"Griffin Conine","MIA","OF","OF"
"James Outman","MIN","OF","OF"
"Nathaniel Lowe","CIN","1B","1B"
"Drew Millas","WSN","C","C"
"Jeff McNeil","ATH","2B,1B,OF","2B"
"Nick Kurtz","ATH","1B","1B"
"Jared Triolo","PIT","SS,3B","SS"
"Jazz Chisholm Jr.","NYY","2B,3B","2B"
"Andrew Benintendi","CHW","OF","OF"
"Xavier Edwards","MIA","SS,2B","SS"
"J.T. Realmuto","PHI","C","C"
"Ryan Jeffers","MIN","C","C"
"Tyler Stephenson","CIN","C","C"
"Angel Martinez","CLE","2B,OF","2B"
"Keibert Ruiz","WSN","C","C"
"Brice Matthews","HOU","2B","2B"
"Jose Caballero","NYY","SS,2B,3B,OF","SS"
"Joc Pederson","TEX","UTL","UTL"
"Fernando Tatis Jr.","SDP","OF","OF"
"Trevor Larnach","MIN","OF","OF"
"Edouard Julien","COL","2B,1B","2B"
"Nathan Lukes","TOR","OF","OF"
"Braxton Fulford","COL","C","C"
"Carson Williams","TBR","SS","SS"
"Ryan McMahon","NYY","3B","3B"
"Cal Raleigh","SEA","C","C"
"Isiah Kiner-Falefa","BOS","SS,3B","SS"
"Amed Rosario","NYY","3B","3B"
"Santiago Espinal","LAD","3B","3B"
"Rafael Devers","SFG","1B","1B"
"Luis Rengifo","MIL","2B,3B","2B"
"Nick Yorke","PIT","2B","2B"
"Jakob Marsee","MIA","OF","OF"
"Jahmai Jones","DET","UTL","UTL"
"Kody Clemens","MIN","2B,1B,OF","2B"
"Kyle Karros","COL","3B","3B"
"Tyler Soderstrom","ATH","1B,OF","1B"
"C.J. Kayfus","CLE","OF","OF"
"Dylan Beavers","BAL","OF","OF"
"Randal Grichuk","NYY","OF","OF"
"Kyle Schwarber","PHI","UTL","UTL"
"Ryan Ritter","COL","SS,2B","SS"
"Moises Ballesteros","CHC","UTL","UTL"
"Cam Smith","HOU","OF","OF"
"Ronald Acuna Jr.","ATL","OF","OF"
"Bo Naylor","CLE","C","C"
"Ramon Urias","STL","2B,3B","2B"
"Evan Carter","TEX","OF","OF"
"Javier Baez","DET","SS,2B,OF","SS"
"Lawrence Butler","ATH","OF","OF"
"Rob Refsnyder","SEA","OF","OF"
"Ryan Bliss","SEA","2B","2B"
"Gabriel Arias","CLE","SS,2B","SS"
"Jose Ramirez","CLE","3B","3B"
"Yainer Diaz","HOU","C","C"
"Jose Tena","WSN","3B","3B"
"Jake Rogers","DET","C","C"
"Hunter Feduccia","TBR","C","C"
"Denzel Clarke","ATH","OF","OF"
"Samuel Basallo","BAL","C","C"
"James McCann","ARI","C","C"
"Luis Campusano","SDP","C","C"
"Jake Fraley","TBR","OF","OF"
"Jorbit Vivas","WSN","2B,3B","2B"
"Starling Marte","KCR","OF","OF"
"Ryan Vilade","TBR","OF","OF"
"Miguel Andujar","SDP","3B,OF","3B"
"Davis Schneider","TOR","2B,OF","2B"
"Nick Castellanos","SDP","OF","OF"
"Luis Garcia Jr.","WSN","2B","2B"
"Austin Slater","MIA","OF","OF"
"Carlos Cortes","ATH","OF","OF"
"Luisangel Acuna","CHW","2B","2B"
"Noelvi Marte","CIN","3B,OF","3B"
"Jung Hoo Lee","SFG","OF","OF"
"Ty France","SDP","1B","1B"
"Pete Alonso","BAL","1B","1B"
"Isaac Paredes","HOU","2B,3B,1B","2B"
"Trea Turner","PHI","SS","SS"
"Tyler O'Neill","BAL","OF","OF"
"Reese McGuire","CHW","C","C"
"Adolis Garcia","PHI","OF","OF"
"Jake McCarthy","COL","OF","OF"
"Edgar Quero","CHW","C","C"
"Danny Jansen","TEX","C","C"
"Richie Palacios","TBR","2B,OF","2B"
"Spencer Steer","CIN","1B","1B"
"Ivan Herrera","STL","UTL","UTL"
"Everson Pereira","CHW","OF","OF"
"Heriberto Hernandez","MIA","OF","OF"
"Josh Smith","TEX","SS,3B,1B","SS"
"Spencer Torkelson","DET","1B","1B"
"Carter Jensen","KCR","C","C"
"Taylor Ward","BAL","OF","OF"
"Addison Barger","TOR","3B,OF","3B"
"Luke Keaschall","MIN","2B","2B"
"Jose Trevino","CIN","C","C"
"Brenton Doyle","COL","OF","OF"
"Matt Vierling","DET","OF","OF"
"Masyn Winn","STL","SS","SS"
"Carlos Santana","ARI","1B","1B"
"Willi Castro","COL","SS,2B,3B,OF","SS"
"Jonathan India","KCR","2B","2B"
"Marcell Ozuna","PIT","UTL","UTL"
"Corbin Carroll","ARI","OF","OF"
"Matt Shaw","CHC","3B","3B"
"Riley Greene","DET","OF","OF"
"Ke'Bryan Hayes","CIN","3B","3B"
"Wyatt Langford","TEX","OF","OF"
"Patrick Bailey","SFG","C","C"
"Harrison Bader","SFG","OF","OF"
"Alex Bregman","CHC","3B","3B"
"Bo Bichette","NYM","SS","SS"
"Spencer Horwitz","PIT","1B","1B"
"George Springer","TOR","OF","OF"
"Vinnie Pasquantino","KCR","1B","1B"
"TJ Friedl","CIN","OF","OF"
"James Wood","WSN","OF","OF"
"Kyle Manzardo","CLE","1B","1B"
"Josh Bell","MIN","1B","1B"
"Bryce Harper","PHI","1B","1B"
"Nolan Arenado","ARI","3B","3B"
"Brent Rooker","ATH","OF","OF"
"Brooks Lee","MIN","SS,2B,3B","SS"
"Gunnar Henderson","BAL","SS","SS"
"Isaac Collins","KCR","OF","OF"
"Lenyn Sosa","CHW","2B,1B","2B"
"Eugenio Suarez","CIN","3B","3B"
"Josh Jung","TEX","3B","3B"
"Casey Schmitt","SFG","2B,3B","2B"
"Teoscar Hernandez","LAD","OF","OF"
"Gavin Sheets","SDP","OF","OF"
"Jacob Wilson","ATH","SS","SS"
"Willy Adames","SFG","SS","SS"
"Caleb Durbin","BOS","3B","3B"
"Josh Naylor","SEA","1B","1B"
"Kerry Carpenter","DET","OF","OF"
"Cedric Mullins","TBR","OF","OF"
"Oneil Cruz","PIT","OF","OF"
"Kyle Stowers","MIA","OF","OF"
"Jackson Chourio","MIL","OF","OF"
"J.P. Crawford","SEA","SS","SS"
"Seiya Suzuki","CHC","OF","OF"
"Tyler Heineman","TOR","C","C"
"Sean Murphy","ATL","C","C"
"Jordan Westburg","BAL","3B","3B"
"Kyle Teel","CHW","C","C"
"Wenceel Perez","DET","OF","OF"
"Romy Gonzalez","BOS","2B,1B","2B"
"Mike Tauchman","CHW","OF","OF"
"Jurickson Profar","ATL","OF","OF"
"Jackson Holliday","BAL","2B","2B"
"Tommy Edman","LAD","2B,OF","2B"
"Austin Hedges","CLE","C","C"
"Alex Jackson","BAL","C","C"
"Anthony Volpe","NYY","SS","SS"
"Austin Wynns","- - -","C","C"
"Alex Call","- - -","OF","OF"
"Lars Nootbaar","STL","OF","OF"
"Hyeseong Kim","LAD","2B","2B"
"Lourdes Gurriel Jr.","ARI","OF","OF"
"Adam Frazier","- - -","2B,OF","2B"
"Andruw Monasterio","MIL","SS,2B,3B","SS"
"Ronny Mauricio","NYM","3B","3B"
"Matt Thaiss","- - -","C","C"
"Jasson Dominguez","NYY","OF","OF"
"Mickey Moniak","COL","OF","OF"
"Max Kepler","PHI","OF","OF"
"Michael Helman","TEX","OF","OF"
"Max Schuemann","ATH","SS,2B","SS"
"Thomas Saggese","STL","SS,2B","SS"
"Christian Koss","SFG","2B","2B"
"J.C. Escarra","NYY","C","C"
"Johan Rojas","PHI","OF","OF"
"Brett Harris","ATH","3B","3B"
"Elias Diaz","SDP","C","C"
"Kyren Paris","LAA","OF","OF"
"Kameron Misner","TBR","OF","OF"
"Eric Haase","MIL","C","C"
"Ha-seong Kim","- - -","SS","SS"
"Gavin Lux","CIN","OF","OF"
"Miles Mastrobuoni","SEA","3B,OF","3B"
"Rafael Marchan","PHI","C","C"
"Christian Vazquez","MIN","C","C"
"Taylor Walls","TBR","SS","SS"
"DJ LeMahieu","NYY","2B","2B"
"Yohel Pozo","STL","C","C"
"Andrew Knizner","SFG","C","C"
"Dylan Crews","WSN","OF","OF"
"Christian Moore","LAA","2B","2B"
"Nacho Alvarez Jr.","ATL","3B","3B"
"Paul DeJong","WSN","3B","3B"
"Tommy Pham","PIT","OF","OF"
"John Rave","KCR","OF","OF"
"Luis Urias","ATH","2B","2B"
"Tyler Fitzgerald","SFG","2B","2B"
"Jhonny Pereda","- - -","C","C"
"Oswaldo Cabrera","NYY","3B","3B"
"Drew Gilbert","SFG","OF","OF"
"Enmanuel Valdez","PIT","1B","1B"
"Curtis Mead","- - -","3B,1B","3B"
"Zach Dezenzo","HOU","OF","OF"
"Nick Loftin","KCR","2B,3B,OF","2B"
"Rowdy Tellez","- - -","1B","1B"
"Blake Dunn","CIN","OF","OF"
"Zack Short","HOU","SS","SS"
"Hayden Senger","NYM","C","C"
"Gustavo Campero","LAA","OF","OF"
"Colby Thomas","ATH","OF","OF"
"Justyn-Henry Malloy","DET","UTL","UTL"
"Alejandro Osuna","TEX","OF","OF"
"Adrian Del Castillo","ARI","UTL","UTL"
"Mitch Garver","SEA","C","C"
"Donovan Solano","- - -","1B","1B"
"Alan Roden","- - -","OF","OF"
"Michael A. Taylor","CHW","OF","OF"
"Willie MacIver","ATH","C","C"
"Jesse Winker","NYM","UTL","UTL"
"Dalton Rushing","LAD","C","C"
"Dylan Moore","- - -","2B,OF","2B"
"Christopher Morel","TBR","OF","OF"
"Chas McCormick","HOU","OF","OF"
"Gary Sanchez","BAL","C,1B","C"
"JJ Bleday","ATH","OF","OF"
"Enrique Hernandez","LAD","3B,1B,OF","3B"
"Taylor Trammell","HOU","OF","OF"
"Brooks Baldwin","CHW","OF","OF"
"Cooper Hummel","- - -","OF","OF"
"Sam Huff","SFG","C","C"
"Kristian Campbell","BOS","2B","2B"
"Luis Matos","SFG","OF","OF"
"Jose Iglesias","SDP","SS,2B","SS"
"Wilmer Flores","SFG","1B","1B"
"Garrett Hampson","- - -","OF","OF"
"Will Wagner","- - -","3B","3B"
"Thairo Estrada","COL","2B","2B"
"Matthew Lugo","LAA","OF","OF"
"Jonatan Clase","TOR","OF","OF"
"Zack Gelof","ATH","2B","2B"
"Cody Freeman","TEX","2B","2B"
"Jose Herrera","ARI","C","C"
"Justin Turner","CHC","1B","1B"
"Emmanuel Rivera","BAL","3B","3B"
"Jacob Melton","HOU","OF","OF"
"Travis d'Arnaud","LAA","C","C"
"Brendan Rodgers","HOU","2B","2B"
"Tyler Wade","SDP","OF","OF"
"Bob Seymour","TBR","1B","1B"
"Chris Taylor","- - -","OF","OF"
"Dylan Carlson","BAL","OF","OF"
"Gio Urshela","ATH","3B","3B"
"Eric Wagaman","MIA","1B","1B"
"Warming Bernabel","COL","1B","1B"
"Weston Wilson","PHI","OF","OF"
"Michael Massey","KCR","2B","2B"
"Jon Berti","CHC","3B","3B"
"Johnathan Rodriguez","CLE","OF","OF"
"Matt Mervis","MIA","1B","1B"
"Nolan Jones","CLE","OF","OF"
"Ben Rortvedt","- - -","C","C"
"Robert Hassell III","WSN","OF","OF"
"Alexander Canario","PIT","OF","OF"
"Jarred Kelenic","ATL","OF","OF"
"Jason Heyward","SDP","OF","OF"
"Jack Suwinski","PIT","OF","OF"
"Riley Adams","WSN","C","C"
"Drew Waters","KCR","OF","OF"
"Triston Casas","BOS","1B","1B"
"Christian Encarnacion-Strand","CIN","1B","1B"
"Mark Canha","KCR","OF","OF"
"Kevin Newman","LAA","3B","3B"
"Abraham Toro","BOS","1B","1B"
"Tyler Locklear","ARI","1B","1B"
"Joshua Palacios","CHW","OF","OF"
"Jonah Bride","- - -","3B","3B"
"Tyler Freeman","COL","OF","OF"
"Yanquiel Fernandez","COL","OF","OF"
"Connor Joe","- - -","OF","OF"
"Martin Maldonado","SDP","C","C"
"Jacob Amaya","CHW","SS","SS"
"Will Robertson","- - -","OF","OF"
"Orlando Arcia","- - -","SS","SS"
"DaShawn Keirsey Jr.","MIN","OF","OF"
"Adael Amador","COL","2B","2B"
"Trey Sweeney","DET","SS","SS"
"Alex Verdugo","ATL","OF","OF"
"Hunter Renfroe","KCR","OF","OF"
"Anthony Santander","TOR","OF","OF"
"Kyle Farmer","COL","2B,3B","2B"
"Jhonkensy Noel","CLE","OF","OF"
"Heston Kjerstad","BAL","OF","OF"
"Josh Rojas","CHW","2B,3B","2B"
"Jacob Stallings","- - -","C","C"
"LaMonte Wade Jr.","- - -","1B","1B"
"Michael Toglia","COL","1B","1B"
